Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
22392992790,Batedor Misturador Mixer Elétrico para Bebidas Leite Café Clara de Ovo 2 em 1,"19,00",100mil+,Isabela Top,13%,"R$2,47",https://shopee.com.br/product/415175805/22392992790,https://s.shopee.com.br/3LNshA8aEW
23798560672,Kit 1 ou 2 Unidades de Veda Porta Ajustável Protetor Rolinho Impermeável 80cm 90cm 100cm,"12,99",100mil+,Atacado BP,24%,"R$3,12",https://shopee.com.br/product/1220444950/23798560672,https://s.shopee.com.br/3VhItT7wtZ
22298032643,Jogo de Lençol 400 Fios Cama Solteiro Casal Queen King E Berço Micropercal Ponto Palito,"27,23",50mil+,STYLLO CASA ENXOVAIS,21%,"R$5,72",https://shopee.com.br/product/1168608130/22298032643,https://s.shopee.com.br/3g0j5m7JYc
21098519637,Kit 3 Peneira Coador De Peneiras Aço Inoxidável Para Cozinha Peneira De Cozinha,"15,99",100mil+,MAX MO (Atacado & Varejo),15%,"R$2,40",https://shopee.com.br/product/461633669/21098519637,https://s.shopee.com.br/3qK9I56gDf
21797631048,Sapateira 4 ou 5 Andares Multiuso Desmontável Organizadora Multiuso Sapatos Livros Brinquedos,"17,98",100mil+,DonaLarana_Casa,7%,"R$1,26",https://shopee.com.br/product/771750144/21797631048,https://s.shopee.com.br/40dZUO62si
22494391157,Percarbonato de Sódio 100% Puro Limpeza Em Geral Tira Manchas Roupas Brancas 500g/1kg /2kg,"11,92",30mil+,Espaço Beleza Encantadora,16%,"R$1,91",https://shopee.com.br/product/876866734/22494391157,https://s.shopee.com.br/4Awzgh5PXl
23493849040,Lencol Queen 400 Fios Micropercal Cama Casal Solteiro Tecido Super Macio,"25,89",100mil+,GUCASACONFORTO,8%,"R$2,07",https://shopee.com.br/product/694125365/23493849040,https://s.shopee.com.br/4LGPt04mCo
9212570285,Creatina Suplemento Monohidratada em Pó 100% Pura Importada - Soldiers Nutrition,"29,90",100mil+,Soldiers Nutrition,15%,"R$4,49",https://shopee.com.br/product/347988064/9212570285,https://s.shopee.com.br/4VZq5J48rr
58200509252,Trava Óculos Antiderrapante Silicone Kit Não Cai Do Rosto Gancho Orelha Haste Conforto,"7,50",40mil+,NEOCOMERCIO,33%,"R$2,48",https://shopee.com.br/product/1620426618/58200509252,https://s.shopee.com.br/4ftGHc3VWu
20698275228,"Kit Limpador Pastilha de máquina de lavar roupa, comprimido efervescente sólido para remover manchas【】","8,59",100mil+,DUSKS STORE,18%,"R$1,55",https://shopee.com.br/product/353891630/20698275228,https://s.shopee.com.br/4qCgTv2sBx
58201523970,Tapete de Banheiro Absorvente Antiderrapante Secagem Rápida,"11,99",60mil+,LuxeElectra,7%,"R$0,84",https://shopee.com.br/product/1064041485/58201523970,https://s.shopee.com.br/50W6gE2Er0
23798655797,Suporte para Escova de Dentes com Dispensador de Creme Dental - Com Esterilizador Uv/Modelo Sem Uv,"13,89",50mil+,A Rainha Do La,8%,"R$1,11",https://shopee.com.br/product/1508524367/23798655797,https://s.shopee.com.br/5ApWsX1bW3
23798710869,Lavitan Cabelos e Unhas 30 Comprimidos,"10,97",50mil+,Droga Clara,7%,"R$0,77",https://shopee.com.br/product/1045085918/23798710869,https://s.shopee.com.br/5L8x4q0yB6
23593588164,Kit 10 Panos De Limpeza Microfibra alta absorção Multiuso,"17,48",100mil+,Cozinha em Casa,7%,"R$1,22",https://shopee.com.br/product/448670448/23593588164,https://s.shopee.com.br/5VSNH90Kq9
41158748466,Mulheres com Deus - 365 Dias de Fé - Devocional,"20,51",100mil+,Online Editora,13%,"R$2,67",https://shopee.com.br/product/482840775/41158748466,https://s.shopee.com.br/5flnTRzhVC
20697639735,Kit 5/10/20/50/100 Un Saco Saquinho Organza Tule Saquinho 7x9 9x12 10x15 Branco Festa Casamento,"5,90",200mil+,FESTLÂNDIA,7%,"R$0,41",https://shopee.com.br/product/288105257/20697639735,https://s.shopee.com.br/5q5Dfkz4AF
20697751196,Balança Bioimpedância Digital Profissional Suporta Até 140kg via Bluethooth,"29,97",50mil+,Universo Mix Utilidades,13%,"R$3,90",https://shopee.com.br/product/511410160/20697751196,https://s.shopee.com.br/60Ods3yQpI
58250773364,"Espuma Spray Zip Clean 300ml Limpa a Seco Sofá, Estofado, Banco de Carro Limpeza Profunda","15,99",20mil+,Papel fotografico e Papelaria,8%,"R$1,28",https://shopee.com.br/product/761647073/58250773364,https://s.shopee.com.br/6Ai44MxnUL
27780089302,3 Pares De Clipe De Cintura Pérola Borboleta Liga Coreana Cinto Ajustador Saia Calças,"6,75",30mil+,Choice Oficial,7%,"R$0,47",https://shopee.com.br/product/1006215031/27780089302,https://s.shopee.com.br/6L1UGfxA9O
26980788215,ROMANTIC CROWN Copo Térmico Inox Portátil 1200ml/600ml/1.2L Garrafa Térmica Inoxidável com Tampa e Canudo,"39,98",90mil+,Romantic.Crown.03,8%,"R$3,20",https://shopee.com.br/product/1350045638/26980788215,https://s.shopee.com.br/6VKuSywWoR
23598536942,Organizador de Sacolas Dispenser Organizadora De Plástico Para Armazenamento De Sacolas De Cozinha,"10,00",40mil+,MaisKCompra Store,8%,"R$0,80",https://shopee.com.br/product/1429781525/23598536942,https://s.shopee.com.br/6feKfHvtTU
22494391164,Percarbonato de Sódio 100% Puro Limpeza Em Geral Tira Manchas Roupas Brancas 500g/1kg /2kg,"12,67",200mil+,Encanto de Beleza,13%,"R$1,65",https://shopee.com.br/product/644980753/22494391164,https://s.shopee.com.br/6pxkravG8X
23393729993,Kit Jogo De Lençol Cama Box Solteiro Casal Queen King 02 e 03 Peças,"25,80",50mil+,Rhavi Enxovais,7%,"R$1,81",https://shopee.com.br/product/419111099/23393729993,https://s.shopee.com.br/70HB3tucna
22794220302,Haste de chenille kit 100 und limpador de cachimbo 30cm,"14,89",30mil+,VittaShopi,7%,"R$1,04",https://shopee.com.br/product/1575474912/22794220302,https://s.shopee.com.br/7AabGCtzSd
40319243537,Caderno Grande Tipo Moleskine 21x14cm Caderneta Com Pauta e Sem Pauta Sketchbook,"10,99",20mil+,Draw Papelaria,14%,"R$1,54",https://shopee.com.br/product/999239250/40319243537,https://s.shopee.com.br/7Ku1SVtM7g
58253988189,Kit2/1 Cartão Memória Micro SD Ultra 32GB-256GB Com Adaptador p/Vendas diretas da fábrica,"12,99",30mil+,soooi,6%,"R$0,78",https://shopee.com.br/product/1249391293/58253988189,https://s.shopee.com.br/7VDReosimj
21399888983,Pote Hermético 2.5L Com Copo Medidor Bico Dosador Cozinha Mantimentos Lavanderia Multiuso Organizado,"17,88",50mil+,Store import‘s,4%,"R$0,72",https://shopee.com.br/product/392545055/21399888983,https://s.shopee.com.br/7fWrr7s5Rm
22892802242,Depilador Indolor Caneta Sobrancelha Removedor Instantâneo A Pilha,"12,39",40mil+,ANJ.GG store,7%,"R$0,87",https://shopee.com.br/product/391739739/22892802242,https://s.shopee.com.br/7pqI3QrS6p
23392973710,Protetor Impermeável para Colchão SUPER SILENCIOSO 100% Impermeável Tecido Jacquard Premium Tamanhos,"47,97",100mil+,Loja do Koala,13%,"R$6,24",https://shopee.com.br/product/740111576/23392973710,https://s.shopee.com.br/809iFjqols
23193518683,Bermuda Modeladora Anágua Cinta Short Feminino Modelador Alta Compressão Reduz Medidas pos parto,"20,90",100mil+,NM LINGERIE,15%,"R$3,14",https://shopee.com.br/product/445101578/23193518683,https://s.shopee.com.br/8AT8S2qBQv
22098878065,Chinelo Bandeirinha Original Sandalia De Dedo Unissex Verão. Presente para o Dia dos Pais,"19,90",70mil+,Ferrari_Shopping,14%,"R$2,79",https://shopee.com.br/product/960891164/22098878065,https://s.shopee.com.br/8KmYeLpY5y
58203349918,Sandália Feminina Chinelos de Praia Com Enfeites Luxo Confortável Eva,"35,99",20mil+,Tengfei Importadora,8%,"R$2,88",https://shopee.com.br/product/1424278396/58203349918,https://s.shopee.com.br/8V5yqeoul1
22197373105,"Lencol Micropercal 400 Fios Jogo De Cama Casal, Queen, King 03 Peças Barato Solteiro e Berço 2Pçs","19,36",60mil+,CasaLauraEnxovais,13%,"R$2,52",https://shopee.com.br/product/296363855/22197373105,https://s.shopee.com.br/8fPP2xoHQ4
18099356042,Depilador Indolor Caneta Sobrancelha Removedor Instantâneo A Pilha,"10,99",90mil+,M&D Brasil Atacadista,7%,"R$0,77",https://shopee.com.br/product/465623800/18099356042,https://s.shopee.com.br/8pipFGne57
13985458428,Extensão elétrica 2 Metros Extensão de Energia 3 Tomadas com 3 metros 5 metros 10 metros,"12,89",100mil+,19BR SHOP,9%,"R$1,16",https://shopee.com.br/product/331720585/13985458428,https://s.shopee.com.br/902FRZn0kA
21678240017,Creme Gel Regenerador Facial Gota de Colágeno Kokeshi 45g,"32,83",30mil+,KOKESHI OFICIAL,24%,"R$7,88",https://shopee.com.br/product/395166866/21678240017,https://s.shopee.com.br/9ALfdsmNPD
19450049961,Creme Depilatório Corporal Depilsam Aloe Vera 200G,"21,99",70mil+,Dana Cosmeticos,17%,"R$3,74",https://shopee.com.br/product/436104412/19450049961,https://s.shopee.com.br/9Kf5qBlk4G
18099720897,Chave T  Longa Para máquina de lavar 10mm Agitador Brastemp/Consul/Electrolux Universal 48/62cm,"12,75",60mil+,Rodrigues Ferramentas,12%,"R$1,53",https://shopee.com.br/product/358104043/18099720897,https://s.shopee.com.br/9UyW2Ul6jJ
20599839417,Escova Elétrica Limpeza Kit 12 em 1 Sem Fio Giratória Portátil,"63,99",50mil+,Top trends,12%,"R$7,68",https://shopee.com.br/product/1243683750/20599839417,https://s.shopee.com.br/9fHwEnkTOM
23799198110,Aparelho Medidor De Pressão Arterial Digital De Braço,"32,99",20mil+,EletroTop Store,13%,"R$4,29",https://shopee.com.br/product/1553736756/23799198110,https://s.shopee.com.br/9pbMR6jq3P
58251614409,ROMANTIC CROWN Copo Térmico Portátil 1200ml/600ml com Tampa e Canudo Garrafa Térmica Inoxidável À prova de vazamentos,"39,98",50mil+,Romantic.Crown04,8%,"R$3,20",https://shopee.com.br/product/1240652277/58251614409,https://s.shopee.com.br/9zumdPjCiS
22794028329,Palmilha de Gel P.u Confortável Macia Ideal Para Quem Trabalha em Pé Durante Muitas Horas,"13,68",30mil+,Lemes Unique,18%,"R$2,46",https://shopee.com.br/product/1510602247/22794028329,https://s.shopee.com.br/AAECpiiZNV
58251084924,Chave T Longa 10mm + Pastilha para Abrir Agitador de Máquina de Lavar – Uso Universal,"13,99",60mil+,Estou_Crescendo,18%,"R$2,52",https://shopee.com.br/product/1099068336/58251084924,https://s.shopee.com.br/AKXd21hw2Y
58201048170,Adesivos Protetores de Ralo Tela Descartavel Anti Entupimento e Anti Insetos Para Casa Pratico,"6,99",70mil+,Lin Tech,6%,"R$0,42",https://shopee.com.br/product/1601586606/58201048170,https://s.shopee.com.br/AUr3EKhIhb
24442629738,Senbenbao X55 Fones De Ouvido TWS Sleep Fone Sem Fio Bluetooth Display Led Hifi Estéreo Cancelamento De Ruído Esportivo ,"12,51",100mil+,Choice Oficial,4%,"R$0,50",https://shopee.com.br/product/1006215031/24442629738,https://s.shopee.com.br/BQqvLKdfc
20697874559,kit Coala Home Chá Branco,"72,90",200mil+,Coala Essências Oficial,19%,"R$13,85",https://shopee.com.br/product/1177903362/20697874559,https://s.shopee.com.br/17Qj2LH0b
19797673158,Kit ate 24 Pares Meias masculina SPORT Algodão cano alto/longo,"16,95",50mil+,TOP MEIAS SP,16%,"R$2,71",https://shopee.com.br/product/1110883009/19797673158,https://s.shopee.com.br/W3hJxJMzi
58203925589,Óleo Essencial De Melaleuca 100% Puro 30ml Contra Micose Acne,"12,90",30mil+,Encanto de Beleza,15%,"R$1,94",https://shopee.com.br/product/644980753/58203925589,https://s.shopee.com.br/LkH7eK0Kh
23798128210,Inox Torneira  Prata/Preto Com Chuveiro Com Rotação De 360° Cozinha Luxo Parede Promoção,"23,99",30mil+,INFINITY COMERCIO DE VARIEDADES,23%,"R$5,52",https://shopee.com.br/product/1003085235/23798128210,https://s.shopee.com.br/qgXiZI6Jo
23093103982,Kit 10/20/30 Escova Desentope Chuveiro Mini Limpador Celular Multifuncional,"10,90",60mil+,CRUZEIRO ELETRO,"8,2%","R$0,87",https://shopee.com.br/product/343762483/23093103982,https://s.shopee.com.br/gN7WGIjen
22498129343,Kit Até 24 Pares De Meias Soquete unissex Menor Preço,"13,75",40mil+,TOP MEIAS SP,16%,"R$2,20",https://shopee.com.br/product/1110883009/22498129343,https://s.shopee.com.br/1BJO7BGpdu
23093848660,Coberdrom Cobertor Solteiro Casal Queen E King Colcha Dupla Face Edredrom Luxo Pele Carneiro Premium,"149,98",20mil+,Ebenézer ShopCapas,18%,"R$27,00",https://shopee.com.br/product/344896374/23093848660,https://s.shopee.com.br/10zxusHSyt
42424923537,Chave T 10mm Longa 62cm de Máquina de Lavar Roupa Retirar Abrir Agitador Marcas Modelo Universal,"13,97",70mil+,ROMALIZ,13%,"R$1,82",https://shopee.com.br/product/961638733/42424923537,https://s.shopee.com.br/1VwEVnFYy0
23597689185,KIT Clips Fixador Organizador de Fios e Cabos Autoadesivo TOP,"5,90",100mil+,GAWA Importts,7%,"R$0,41",https://shopee.com.br/product/969508885/23597689185,https://s.shopee.com.br/1LcoJUGCIz
22895570776,Creme Para Pentear Definição Natural 1kg,"35,80",100mil+,Salon Line,18%,"R$6,44",https://shopee.com.br/product/616222685/22895570776,https://s.shopee.com.br/1qZ4uPEII6
26075587372,Hot 2024 Novos Óculos À Prova De Queda Azuis Luz Para Homens E Mulheres,"23,99",40mil+,yanxia.br,13%,"R$3,12",https://shopee.com.br/product/1283669740/26075587372,https://s.shopee.com.br/1gFei6Evd5
23898692172,Ventilador de Teto com Luz Silencioso Controle Remoto Economica Instalação Fácil LED Bivolt E27,"55,77",80mil+,LUZORA,14%,"R$7,81",https://shopee.com.br/product/1521699574/23898692172,https://s.shopee.com.br/2BBvJ1D1cC
22298151589,Mangueira de Jardim Anti-Torção e Anti-Dobras de 5 a 50 Metros,"17,92",100mil+,zeus e athena,22%,"R$3,94",https://shopee.com.br/product/1032838083/22298151589,https://s.shopee.com.br/20sV6iDexB
