Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
23294049109,Sandália Babuche Adulto Feminino  Nuvem com 8 Bottons aleatórios,"32,9",50mil+,Divas Store LTDA,3%,"R$0,99",https://shopee.com.br/product/1234356004/23294049109,https://s.shopee.com.br/6Ai71kumaa
49859716861,Kit Lençol Fronha Estampada Cama Solteiro Casal Queen King 400 fios Micropercal 03 Peças Ponto Palito,"36,09",2mil+,Enxovais.Store,7%,"R$2,53",https://shopee.com.br/product/289796446/49859716861,https://s.shopee.com.br/60OgpRvPvZ
22998660344,Película Cerâmica 9D 3D iPhone Gel Hidrogel Flexível película iphone 13 11 12 14 15 16 PRO MAX,"4,98",40mil+,Lin case,5%,"R$0,25",https://shopee.com.br/product/1024858829/22998660344,https://s.shopee.com.br/6VKxQMtVug
20198000747,Kit Feira Cronolola Bemdita Ghee 100g Nutrição Hidratação e Reconstrução,"28,49",10mil+,Lolô Cosméticos,3%,"R$0,85",https://shopee.com.br/product/1263364177/20198000747,https://s.shopee.com.br/6L1XE3u9Ff
22094032770,calças fler com bolso tecido grosso 38/40/42/44/46/48/50/52/54,"29,49",10mil+,JOYCE MODAS12,3%,"R$0,88",https://shopee.com.br/product/1314293823/22094032770,https://s.shopee.com.br/4Ax2e52OeG
58204730158,Touca de cetim com Faixa Cor Rosa– Touca de Dormir Antifrizz  | Fabricante,"9,98",7mil+,Pedro_Universo,3%,"R$0,30",https://shopee.com.br/product/1455490500/58204730158,https://s.shopee.com.br/40dcRm31zF
58256439593,Percarbonato 100% Puro Tira Manchas Roupas Brancas e Coloridas,"17,99",30mil+,Papel fotografico e Papelaria,8%,"R$1,44",https://shopee.com.br/product/761647073/58256439593,https://s.shopee.com.br/4VZt2h17yM
22593967188,Kit Feminino Cropped Eu Não Tenho Tamanho Shorts Cor Sortida Aleatória,"24,95",6mil+,Street Seven Oficial,15%,"R$3,74",https://shopee.com.br/product/832702330/22593967188,https://s.shopee.com.br/4LGSqO1lJL
58252935781,Kit 100 Presilhas de Cabelo Estrela Coloridas Estilo Y2K Dopamina / Antiderrapantes Para Meninas,"12,99",5mil+,Wang Store Commerce,3%,"R$0,39",https://shopee.com.br/product/1713632798/58252935781,https://s.shopee.com.br/4qCjRIzrIS
58251846770,"Depilador Elétrico Feminino Recarregável, Navalha Dupla - Removedor de Pelos","29,99",10mil+,JUNGE TECH LTDA,11%,"R$3,30",https://shopee.com.br/product/1580145778/58251846770,https://s.shopee.com.br/4ftJF00UdR
23299372913,Percarbonato de Sódio 100% Puro Tira Manchas Roupas Brancas e Coloridas Limpeza em Geral,"17,99",10mil+,Marca Texto e Papel Fotográfico,8%,"R$1,44",https://shopee.com.br/product/967211054/23299372913,https://s.shopee.com.br/5ApZpuyacY
19096967339,Meia Calça Leggig Flanelada Termica Cintura Alta Adulta Tamanho Unico,"17,95",40mil+,Loja baratas,3%,"R$0,54",https://shopee.com.br/product/437061636/19096967339,https://s.shopee.com.br/50W9dbzDxX
